Nummer,Nøkkelord,Intensjon,Søkevolum,Konkurranse,Notater
1,urinlekkasje,symptom/informasjon,,,
2,årsaker til urinlekkasje,informasjon,,,
3,behandling urinlekkasje kvinner,behandling,,,
4,behandling urinlekkasje menn,behandling,,,
5,bekkenbunnsøvelser,behandling/informasjon,,,
6,hvordan trene bekkenbunnen,informasjon/behandling,,,
7,tømmingsproblemer urin,symptom/informasjon,,,
8,overaktiv blære symptomer,symptom/informasjon,,,
9,avføringslekkasje,symptom/informasjon,,,
10,behandling avføringslekkasje,behandling,,,
11,forstoppelse og bekkenbunn,symptom/informasjon,,,
12,langvarige underlivssmerter,symptom/informasjon,,,
13,plager under graviditet etter fødsel,symptom/informasjon,,,
14,bekkenbunnsdysfunksjon etter fødsel,symptom/informasjon,,,
15,fremfall livmor symptomer,symptom/informasjon,,,
16,treningsprogram bekkenbunn,behandling,,,
17,fysioterapi bekkenbunn,behandling,,,
18,uroterapeut urinlekkasje,behandling,,,
19,inkontinens hos eldre,symptom/informasjon,,,
20,stressinkontinens hos kvinner,symptom/informasjon,,,
21,urgeinkontinens,symptom/informasjon,,,
22,blandingsinkontinens behandling,treatment,,,
23,blæretrening teknikk,behandling,,,
24,knipeøvelser kvinne,behandling/informasjon,,,
25,bekkenbunnstrening menn,behandling/informasjon,,,
26,bekkenbunnsøvelser etter fødsel,behandling,,,
27,lekkasje urin trening,behandling,,,
28,lekkasje avføring trening,behandling,,,
29,tyngdefornemmelse underlivet,symptom/informasjon,,,
30,bekkenbunn øvelser graviditet,behandling,,,
31,analinkontinens behandling,behandling,,,
32,bekkensmerter årsaker,informasjon,,,
33,underlivssmerter menn,symptom/informasjon,,,
34,underlivssmerter kvinner,symptom/informasjon,,,
35,nevrogen blære symptomer,symptom/informasjon,,,
36,blærekatastrofe etter fødsel,symptom/informasjon,,,
37,knipeøvelser teknikk korrekt,informasjon,,,
38,bekkenbunn relasjon til seksualitet,informasjon,,,
39,livsstilsendringer urinlekkasje,informasjon/behandling,,,
40,blærekontroll trening hjemme,behandling,,,
41,bekkenbunn muskler og anatomi,informasjon,,,
42,inkontinens og trening,informasjon/behandling,,,
43,urinlekkasje idrett aktiv kvinne,symptom/informasjon,,,
44,lekkasje menn etter prostatektomi,symptom/informasjon,,,
45,biofeedback bekkenbunn effekt,behandling,,,
46,operasjon for urinlekkasje kvinner,behandling,,,
47,kirurgi fremfall livmor,behandling,,,
48,tung løft bekkenbunnskade,informasjon,,,
49,bekkenbunnstrening app,behandling/informasjon,,,
50,rehabilitering bekkenbunn etter fødsel,behandling,,,

